PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=67.5 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=61.9 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=61.2 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=66.4 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=69.2 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=68.3 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=25.9 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=32.0 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=31.6 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=54.2 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=67.8 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=64.7 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=57.1 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=68.4 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=79.4 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=96.6 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=83.2 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=87.2 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=99.1 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=86.5 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=87.5 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=98.1 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=85.0 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=96.8 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=95.6 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=80.0 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=103 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=99.0 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=137 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=163 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=98.5 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=84.9 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=83.4 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=81.5 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=101 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=76.9 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=81.8 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=80.3 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=82.8 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=85.9 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=97.4 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=79.2 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=85.5 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=81.0 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=92.2 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=81.4 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=98.7 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=78.0 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=89.5 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=87.7 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=98.3 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=86.6 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=96.5 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=74.2 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=79.5 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=88.9 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=90.8 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=80.2 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=93.9 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=85.8 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=84.1 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=83.2 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=88.2 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=87.3 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=87.6 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=60.8 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=71.6 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=70.0 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=94.2 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=93.4 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=74.3 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=73.0 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=72.2 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=89.4 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=88.4 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=87.6 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=92.6 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=80.9 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=84.0 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=101 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=86.7 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=99.8 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=96.8 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=96.5 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=80.1 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=121 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=92.6 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=116 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=130 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=122 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=126 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=130 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=130 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=101 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=112 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=110 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=159 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=127 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=172 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=158 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=172 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=177 ms
64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=194 ms
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=179 ms
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=170 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=193 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=200 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=194 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=177 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=182 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=180 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=167 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=172 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=170 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=192 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=209 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=182 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=211 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=185 ms
64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=206 ms
64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=222 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=232 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=199 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=198 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=177 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=157 ms
64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=167 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=184 ms
64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=195 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=224 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=218 ms
64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=203 ms
64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=219 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=218 ms
64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=224 ms
