PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=249 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=255 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=265 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=235 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=263 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=266 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=252 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=260 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=275 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=286 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=279 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=267 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=266 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=309 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=286 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=290 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=279 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=279 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=307 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=286 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=303 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=317 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=304 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=293 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=304 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=321 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=311 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=304 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=315 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=327 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=316 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=328 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=334 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=321 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=320 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=325 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=326 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=320 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=349 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=337 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=333 ms
